0x80000000:lui    s11,0x80007         s11=0x80007000
0x80000004:addi   ra,zero,0x011       ra=0x00000000+0x00000011=0x00000011
0x80000008:addi   sp,zero,0x022       sp=0x00000000+0x00000022=0x00000022
0x8000000c:addi   gp,zero,0x033       gp=0x00000000+0x00000033=0x00000033
0x80000010:addi   tp,zero,0x044       tp=0x00000000+0x00000044=0x00000044
0x80000014:addi   t0,zero,0x055       t0=0x00000000+0x00000055=0x00000055
0x80000018:addi   t1,zero,0x066       t1=0x00000000+0x00000066=0x00000066
0x8000001c:addi   t2,zero,0x077       t2=0x00000000+0x00000077=0x00000077
0x80000020:addi   s0,zero,0x088       s0=0x00000000+0x00000088=0x00000088
0x80000024:sb     ra,0x000(s11)       mem[0x80007000]=0x11
0x80000028:sb     sp,0x001(s11)       mem[0x80007001]=0x22
0x8000002c:sb     gp,0x002(s11)       mem[0x80007002]=0x33
0x80000030:sb     tp,0x003(s11)       mem[0x80007003]=0x44
0x80000034:sb     t0,0x004(s11)       mem[0x80007004]=0x55
0x80000038:sb     t1,0x005(s11)       mem[0x80007005]=0x66
0x8000003c:sb     t2,0x006(s11)       mem[0x80007006]=0x77
0x80000040:sb     s0,0x007(s11)       mem[0x80007007]=0x88
0x80000044:sh     ra,0x010(s11)       mem[0x80007010]=0x0011
0x80000048:sh     sp,0x012(s11)       mem[0x80007012]=0x0022
0x8000004c:sh     gp,0x014(s11)       mem[0x80007014]=0x0033
0x80000050:sh     tp,0x016(s11)       mem[0x80007016]=0x0044
0x80000054:sh     t0,0x018(s11)       mem[0x80007018]=0x0055
0x80000058:sh     t1,0x01a(s11)       mem[0x8000701a]=0x0066
0x8000005c:sh     t2,0x01c(s11)       mem[0x8000701c]=0x0077
0x80000060:sh     s0,0x01e(s11)       mem[0x8000701e]=0x0088
0x80000064:sw     ra,0x020(s11)       mem[0x80007020]=0x00000011
0x80000068:sw     sp,0x024(s11)       mem[0x80007024]=0x00000022
0x8000006c:sw     gp,0x028(s11)       mem[0x80007028]=0x00000033
0x80000070:sw     tp,0x02c(s11)       mem[0x8000702c]=0x00000044
0x80000074:sw     t0,0x030(s11)       mem[0x80007030]=0x00000055
0x80000078:sw     t1,0x034(s11)       mem[0x80007034]=0x00000066
0x8000007c:sw     t2,0x038(s11)       mem[0x80007038]=0x00000077
0x80000080:sw     s0,0x03c(s11)       mem[0x8000703c]=0x00000088
0x80000084:lb     s1,0x000(s11)       s1=mem[0x80007000]=0x00000011
0x80000088:lb     a0,0x001(s11)       a0=mem[0x80007001]=0x00000022
0x8000008c:lb     a1,0x002(s11)       a1=mem[0x80007002]=0x00000033
0x80000090:lb     a2,0x003(s11)       a2=mem[0x80007003]=0x00000044
0x80000094:lb     a3,0x004(s11)       a3=mem[0x80007004]=0x00000055
0x80000098:lb     a4,0x005(s11)       a4=mem[0x80007005]=0x00000066
0x8000009c:lb     a5,0x006(s11)       a5=mem[0x80007006]=0x00000077
0x800000a0:lb     a6,0x007(s11)       a6=mem[0x80007007]=0xffffff88
0x800000a4:lh     s1,0x010(s11)       s1=mem[0x80007010]=0x00000011
0x800000a8:lh     a0,0x012(s11)       a0=mem[0x80007012]=0x00000022
0x800000ac:lh     a1,0x014(s11)       a1=mem[0x80007014]=0x00000033
0x800000b0:lh     a2,0x016(s11)       a2=mem[0x80007016]=0x00000044
0x800000b4:lh     a3,0x018(s11)       a3=mem[0x80007018]=0x00000055
0x800000b8:lh     a4,0x01a(s11)       a4=mem[0x8000701a]=0x00000066
0x800000bc:lh     a5,0x01c(s11)       a5=mem[0x8000701c]=0x00000077
0x800000c0:lh     a6,0x01e(s11)       a6=mem[0x8000701e]=0x00000088
0x800000c4:lw     s1,0x020(s11)       s1=mem[0x80007020]=0x00000011
0x800000c8:lw     a0,0x024(s11)       a0=mem[0x80007024]=0x00000022
0x800000cc:lw     a1,0x028(s11)       a1=mem[0x80007028]=0x00000033
0x800000d0:lw     a2,0x02c(s11)       a2=mem[0x8000702c]=0x00000044
0x800000d4:lw     a3,0x030(s11)       a3=mem[0x80007030]=0x00000055
0x800000d8:lw     a4,0x034(s11)       a4=mem[0x80007034]=0x00000066
0x800000dc:lw     a5,0x038(s11)       a5=mem[0x80007038]=0x00000077
0x800000e0:lw     a6,0x03c(s11)       a6=mem[0x8000703c]=0x00000088
0x800000e4:lbu    s1,0x000(s11)       s1=mem[0x80007000]=0x00000011
0x800000e8:lbu    a0,0x001(s11)       a0=mem[0x80007001]=0x00000022
