0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x00008          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0xfffcc          pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x00000          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x0d0         a0=0x80000040+0x000000d0=0x80000110
0x80000048:auipc  a1,0x00000          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0c8         a1=0x80000048+0x000000c8=0x80000110
0x80000050:sw     zero,0x000(a0)      mem[0x80000110]=0x00000000
0x80000054:addi   a0,a0,0x004         a0=0x80000110+0x00000004=0x80000114
0x80000058:blt    a0,a1,0xffc         (0x80000114<0x80000110)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000       pc=0x800000ac+0x00000000,zero=0x80000060
0x800000ac:jal    ra,0x00022          pc=0x800000f0,ra=0x800000b0
0x800000f0:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x800000f4:sw     ra,0x000(sp)        mem[0x80007ff0]=0x800000b0
0x800000f8:addi   a0,zero,0x005       a0=0x00000000+0x00000005=0x00000005
0x800000fc:jal    ra,0xfffde          pc=0x800000b8,ra=0x80000100
0x800000b8:addi   sp,sp,0xff0         sp=0x80007ff0+0xfffffff0=0x80007fe0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fe0]=0x80000100
0x800000c0:bne    a0,zero,0x006       (0x00000005!=0x00000000)=1->pc=0x800000cc
0x800000cc:sw     a0,0x004(sp)        mem[0x80007fe4]=0x00000005
0x800000d0:addi   a0,a0,0xfff         a0=0x00000005+0xffffffff=0x00000004
0x800000d4:jal    ra,0xffff2          pc=0x800000b8,ra=0x800000d8
0x800000b8:addi   sp,sp,0xff0         sp=0x80007fe0+0xfffffff0=0x80007fd0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fd0]=0x800000d8
0x800000c0:bne    a0,zero,0x006       (0x00000004!=0x00000000)=1->pc=0x800000cc
0x800000cc:sw     a0,0x004(sp)        mem[0x80007fd4]=0x00000004
0x800000d0:addi   a0,a0,0xfff         a0=0x00000004+0xffffffff=0x00000003
0x800000d4:jal    ra,0xffff2          pc=0x800000b8,ra=0x800000d8
0x800000b8:addi   sp,sp,0xff0         sp=0x80007fd0+0xfffffff0=0x80007fc0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fc0]=0x800000d8
0x800000c0:bne    a0,zero,0x006       (0x00000003!=0x00000000)=1->pc=0x800000cc
0x800000cc:sw     a0,0x004(sp)        mem[0x80007fc4]=0x00000003
0x800000d0:addi   a0,a0,0xfff         a0=0x00000003+0xffffffff=0x00000002
0x800000d4:jal    ra,0xffff2          pc=0x800000b8,ra=0x800000d8
0x800000b8:addi   sp,sp,0xff0         sp=0x80007fc0+0xfffffff0=0x80007fb0
0x800000bc:sw     ra,0x000(sp)        mem[0x80007fb0]=0x800000d8
0x800000c0:bne    a0,zero,0x006       (0x00000002!=0x00000000)=1->pc=0x800000cc
0x800000cc:sw     a0,0x004(sp)        mem[0x80007fb4]=0x00000002
0x800000d0:addi   a0,a0,0xfff         a0=0x00000002+0xffffffff=0x00000001
